original_Lat,original_Lon,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url
12.982,77.6256,2.4429298575736618,"Murphy Road, Hoysala Nagara, Bengaluru - 560042, KA, India",12.9819371,77.6273788,Murphy Road,,Murphy Road,560042,East Zone,Hoysala Nagara,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.8988,77.5764,9.431933155193398,"Jaraganahalli Ward, Bengaluru - 560078, KA, India",12.8989077,77.5762494,,,,560078,Bommanahalli Zone,Jaraganahalli Ward,Bengaluru,Bangalore South,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9783,77.6408,0,"B. M. Shri Circle, Chinmaya Mission Hospital Road, Hoysala Nagara, Bengaluru - 560038, KA, India",12.97838355,77.64086882140117,B. M. Shri Circle,,Chinmaya Mission Hospital Road,560038,East Zone,Hoysala Nagara,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.977,77.5773,54.028731098613875,"Jayant Probikes & Fitness, 7, 2nd Cross Road, Gandhinagar, Bengaluru - 560009, KA, India",12.976848,77.5777736,Jayant Probikes & Fitness,7,2nd Cross Road,560009,West Zone,Gandhinagar,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
13.0298,77.6047,60.91684461983861,"Synergy Health Care, #53, Sulthanpalya Main Road, Sulthanpalya, Bengaluru - 560032, KA, India",13.0292674,77.6045683,Synergy Health Care,#53,Sulthanpalya Main Road,560032,East Zone,Sulthanpalya,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9983,77.6409,5.857557789253406,"Maruthi Seva Nagar, Bengaluru - 560033, KA, India",12.9987886,77.6404023,,,,560033,East Zone,Maruthi Seva Nagar,Bengaluru,Bangalore East,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9925,77.5633,4.257883186810231,"Sriramapura, Bengaluru - 560021, KA, India",12.9924332,77.5638526,,,,560021,West Zone,Sriramapura,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9306,77.5434,0,"Dr. Muthuraj Junction, 1st Main Road, Hosakerehalli Ward, Bengaluru - 560085, KA, India",12.9305009,77.54352678767705,Dr. Muthuraj Junction,,1st Main Road,560085,South Zone,Hosakerehalli Ward,Bengaluru,Bangalore South,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.982,77.6256,2.4429298575736618,"Murphy Road, Hoysala Nagara, Bengaluru - 560042, KA, India",12.9819371,77.6273788,Murphy Road,,Murphy Road,560042,East Zone,Hoysala Nagara,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9353,77.5585,5.847817711326821,"3rd A Main Road, Vidyapeeta ward, Bengaluru - 560028, KA, India",12.9351795,77.5588831,3rd A Main Road,,3rd A Main Road,560028,South Zone,Vidyapeeta ward,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9155,77.5135,7.513655994479278,"Kenchenahalli Main Road, Rajarajeshwari Nagar, Bangalore - 560098, KA, India",12.915567,77.513509,,,Kenchenahalli Main Road,560098,Rajarajeswari Nagar,Rajarajeshwari Nagar,Bangalore,Bangalore,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9854,77.7081,4.593844609659528,"ING, Graphite India Road, Garudachara Palya, Bengaluru - 560048, KA, India",12.985436,77.7081208,ING,,Graphite India Road,560048,Mahadevapura Zone,Garudachara Palya,Bengaluru,Bangalore East,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
13.0019,77.5713,15.531075007826947,"K C G Pharma And Generals, 17, Sampige Road, Malleswaram, Bengaluru - 560003, KA, India",13.0020076,77.5713914,K C G Pharma And Generals,17,Sampige Road,560003,West Zone,Malleswaram,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9698,77.75,13.385434606539715,"Mayura Bakery, Whitefield Main Road, Hagadur, Bengaluru - 560066, KA, India",12.9698813,77.7500911,Mayura Bakery,,Whitefield Main Road,560066,Mahadevapura Zone,Hagadur,Bengaluru,Bangalore East,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9783,77.6408,0,"B. M. Shri Circle, Chinmaya Mission Hospital Road, Hoysala Nagara, Bengaluru - 560038, KA, India",12.97838355,77.64086882140117,B. M. Shri Circle,,Chinmaya Mission Hospital Road,560038,East Zone,Hoysala Nagara,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9261,77.6221,124.91971327587763,"Vijaya Shree Diagnostics, 580, 18th Main Road, Koramangala, Bengaluru - 560034, KA, India",12.9271081,77.6226087,Vijaya Shree Diagnostics,580,18th Main Road,560034,South Zone,Koramangala,Bengaluru,Bangalore South,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.985,77.5533,7.550580079199212,"Apollo Pharmacy, Vatal Nagaraj Road, Shivanagara, Bengaluru - 560010, KA, India",12.9850504,77.5532533,Apollo Pharmacy,,Vatal Nagaraj Road,560010,West Zone,Shivanagara,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9119,77.6446,1.5519198367884486,"19th Main Road, HSR Layout Ward, Bengaluru - 560068, KA, India",12.9118932,77.6445857,19th Main Road,,19th Main Road,560068,Bommanahalli Zone,HSR Layout Ward,Bengaluru,Bangalore South,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9306,77.5434,0,"Dr. Muthuraj Junction, 1st Main Road, Hosakerehalli Ward, Bengaluru - 560085, KA, India",12.9305009,77.54352678767705,Dr. Muthuraj Junction,,1st Main Road,560085,South Zone,Hosakerehalli Ward,Bengaluru,Bangalore South,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.977,77.5773,54.028731098613875,"Jayant Probikes & Fitness, 7, 2nd Cross Road, Gandhinagar, Bengaluru - 560009, KA, India",12.976848,77.5777736,Jayant Probikes & Fitness,7,2nd Cross Road,560009,West Zone,Gandhinagar,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.982,77.6256,2.4429298575736618,"Murphy Road, Hoysala Nagara, Bengaluru - 560042, KA, India",12.9819371,77.6273788,Murphy Road,,Murphy Road,560042,East Zone,Hoysala Nagara,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9438,77.5738,3.143895377123009,"Tagore Circle Underpass, Basavanagudi, Bengaluru - 560004, KA, India",12.9435602,77.5738305,Tagore Circle Underpass,,Tagore Circle Underpass,560004,South Zone,Basavanagudi,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.8988,77.5764,9.431933155193398,"Jaraganahalli Ward, Bengaluru - 560078, KA, India",12.8989077,77.5762494,,,,560078,Bommanahalli Zone,Jaraganahalli Ward,Bengaluru,Bangalore South,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9662,77.6068,0,"Shoolay Circle, Richmond Road, Shantala Nagar, Bengaluru - 560025, KA, India",12.96624935,77.6067988851419,Shoolay Circle,,Richmond Road,560025,East Zone,Shantala Nagar,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9565,77.5484,37.659702538451086,"Indian Oil, Mysore Road, Valmiki Nagar, Bengaluru - 566026, KA, India",12.9564877,77.5487473,Indian Oil,,Mysore Road,566026,West Zone,Valmiki Nagar,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9925,77.5633,4.257883186810231,"Sriramapura, Bengaluru - 560021, KA, India",12.9924332,77.5638526,,,,560021,West Zone,Sriramapura,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.985,77.5533,7.550580079199212,"Apollo Pharmacy, Vatal Nagaraj Road, Shivanagara, Bengaluru - 560010, KA, India",12.9850504,77.5532533,Apollo Pharmacy,,Vatal Nagaraj Road,560010,West Zone,Shivanagara,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.985,77.5533,7.550580079199212,"Apollo Pharmacy, Vatal Nagaraj Road, Shivanagara, Bengaluru - 560010, KA, India",12.9850504,77.5532533,Apollo Pharmacy,,Vatal Nagaraj Road,560010,West Zone,Shivanagara,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9261,77.6221,124.91971327587763,"Vijaya Shree Diagnostics, 580, 18th Main Road, Koramangala, Bengaluru - 560034, KA, India",12.9271081,77.6226087,Vijaya Shree Diagnostics,580,18th Main Road,560034,South Zone,Koramangala,Bengaluru,Bangalore South,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.977,77.5773,54.028731098613875,"Jayant Probikes & Fitness, 7, 2nd Cross Road, Gandhinagar, Bengaluru - 560009, KA, India",12.976848,77.5777736,Jayant Probikes & Fitness,7,2nd Cross Road,560009,West Zone,Gandhinagar,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.977,77.5773,54.028731098613875,"Jayant Probikes & Fitness, 7, 2nd Cross Road, Gandhinagar, Bengaluru - 560009, KA, India",12.976848,77.5777736,Jayant Probikes & Fitness,7,2nd Cross Road,560009,West Zone,Gandhinagar,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.982,77.6256,2.4429298575736618,"Murphy Road, Hoysala Nagara, Bengaluru - 560042, KA, India",12.9819371,77.6273788,Murphy Road,,Murphy Road,560042,East Zone,Hoysala Nagara,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.985,77.5533,7.550580079199212,"Apollo Pharmacy, Vatal Nagaraj Road, Shivanagara, Bengaluru - 560010, KA, India",12.9850504,77.5532533,Apollo Pharmacy,,Vatal Nagaraj Road,560010,West Zone,Shivanagara,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
13.0206,77.6479,4.527518546503036,"9th A Main Road, Banaswadi, Bengaluru - 560043, KA, India",13.0198909,77.647854,9th A Main Road,,9th A Main Road,560043,East Zone,Banaswadi,Bengaluru,Bangalore East,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.977,77.5773,54.028731098613875,"Jayant Probikes & Fitness, 7, 2nd Cross Road, Gandhinagar, Bengaluru - 560009, KA, India",12.976848,77.5777736,Jayant Probikes & Fitness,7,2nd Cross Road,560009,West Zone,Gandhinagar,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.977,77.5773,54.028731098613875,"Jayant Probikes & Fitness, 7, 2nd Cross Road, Gandhinagar, Bengaluru - 560009, KA, India",12.976848,77.5777736,Jayant Probikes & Fitness,7,2nd Cross Road,560009,West Zone,Gandhinagar,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9635,77.5821,105.129898799724,"Burhani Rubber & Polymer, 82/1, SJP Road, Dharmaraya Swamy Temple Ward, Bengaluru - 560002, KA, India",12.9640976,77.5828518,Burhani Rubber & Polymer,82/1,SJP Road,560002,South Zone,Dharmaraya Swamy Temple Ward,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9306,77.5434,0,"Dr. Muthuraj Junction, 1st Main Road, Hosakerehalli Ward, Bengaluru - 560085, KA, India",12.9305009,77.54352678767705,Dr. Muthuraj Junction,,1st Main Road,560085,South Zone,Hosakerehalli Ward,Bengaluru,Bangalore South,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
13.0067,77.545,3.5371544546938702,"Nagapura Ward, Bengaluru - 560086, KA, India",13.0059714,77.5453317,,,,560086,West Zone,Nagapura Ward,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.8845,77.6036,2.8082666201337414,"BDA 80 Feet Road, Arekere, Bengaluru - 560076, KA, India",12.8845129,77.6010861,BDA 80 Feet Road,,BDA 80 Feet Road,560076,Bommanahalli Zone,Arekere,Bengaluru,Bangalore South,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.977,77.5773,54.028731098613875,"Jayant Probikes & Fitness, 7, 2nd Cross Road, Gandhinagar, Bengaluru - 560009, KA, India",12.976848,77.5777736,Jayant Probikes & Fitness,7,2nd Cross Road,560009,West Zone,Gandhinagar,Bengaluru,Bangalore North,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
12.9119,77.6446,1.5519198367884486,"19th Main Road, HSR Layout Ward, Bengaluru - 560068, KA, India",12.9118932,77.6445857,19th Main Road,,19th Main Road,560068,Bommanahalli Zone,HSR Layout Ward,Bengaluru,Bangalore South,Karnataka,KA,India,in,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
